192.168.2.21 - - [05/Jul/2018:13:30:03 +0800] "GET /hp/device/InternalPages/Index?id=ConfigurationPage HTTP/1.1" 404 161
127.0.0.1 - - [05/Jul/2018:15:52:16 +0800] "GET /collect?v=1&_v=j43&a=145830111&t=event&_s=6&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=836571311 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:54:34 +0800] "GET /collect?v=1&_v=j43&a=1917766633&t=event&_s=1&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=show&el=gold&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=391946160 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:54:34 +0800] "GET /collect?v=1&_v=j43&a=1917766633&t=event&_s=4&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1787799015 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:54:34 +0800] "GET /collect?v=1&_v=j43&a=1917766633&t=pageview&_s=3&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=177380577 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:54:34 +0800] "GET /collect?v=1&_v=j43&a=1917766633&t=event&_s=2&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=source&ea=show&el=ui&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=1507080306 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:54:34 +0800] "GET /collect?v=1&_v=j43&a=1917766633&t=event&_s=5&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=887553226 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:15:54:34 +0800] "GET /collect?v=1&_v=j43&a=1917766633&t=event&_s=6&dl=chrome-extension%3A%2F%2Flecdifefmmfjnjjinhaennhdlmcaeeeb%2Fmain.html&dp=%2Fdesign&ul=zh-cn&de=UTF-8&dt=%E6%96%B0%E6%A0%87%E7%AD%BE%E9%A1%B5&sd=24-bit&sr=1920x1080&vp=1920x948&je=0&ec=banner&ea=show&el=https%3A%2F%2Fcn.udacity.com%2Fcourse%2Fblockchain-developer-nanodegree--nd1309%3Futm_source%3Djuejin-gold_browser_extension%26utm_medium%3Dbanner%26utm_campaign%3Dbdnd&_u=SACAAEABI~&jid=&cid=2113711572.1500619903&tid=UA-61022745-2&z=856950018 HTTP/1.1" 404 139
127.0.0.1 - - [05/Jul/2018:16:00:23 +0800] "GET /__utm.gif?utmwv=5.4.3&utms=5&utmn=766355492&utmhn=cordova.axuer.com&utmt=event&utme=5(snippet*snippet_not_enhanced)8(Number%20of%20snippets)&utmcs=UTF-8&utmsr=1920x1080&utmvp=1903x948&utmsc=24-bit&utmul=zh-cn&utmje=0&utmfl=-&utmdt=%E5%88%9B%E5%BB%BA%E4%BD%A0%E7%9A%84%E7%AC%AC%E4%B8%80%E4%B8%AAApp%20-%20Cordova%E4%B8%AD%E6%96%87%E7%BD%91&utmhid=743100670&utmr=0&utmp=%2Fdocs%2Fzh-cn%2Flatest%2Fguide%2Fcli%2Findex.html&utmht=1530777623904&utmac=UA-41961881-3&utmcc=__utma%3D52371387.117761400.1530777622.1530777622.1530777622.1%3B%2B__utmz%3D52371387.1530777622.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=6Q~ HTTP/1.1" 404 141
127.0.0.1 - - [05/Jul/2018:16:00:23 +0800] "GET /__utm.gif?utmwv=5.4.3&utms=6&utmn=1275633871&utmhn=cordova.axuer.com&utmt=event&utme=5(snippet*snippet_not_enhanced)8(Number%20of%20snippets)&utmcs=UTF-8&utmsr=1920x1080&utmvp=1903x948&utmsc=24-bit&utmul=zh-cn&utmje=0&utmfl=-&utmdt=%E5%88%9B%E5%BB%BA%E4%BD%A0%E7%9A%84%E7%AC%AC%E4%B8%80%E4%B8%AAApp%20-%20Cordova%E4%B8%AD%E6%96%87%E7%BD%91&utmhid=743100670&utmr=0&utmp=%2Fdocs%2Fzh-cn%2Flatest%2Fguide%2Fcli%2Findex.html&utmht=1530777623907&utmac=UA-41961881-3&utmcc=__utma%3D52371387.117761400.1530777622.1530777622.1530777622.1%3B%2B__utmz%3D52371387.1530777622.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=6Q~ HTTP/1.1" 404 141
127.0.0.1 - - [05/Jul/2018:16:00:23 +0800] "GET /__utm.gif?utmwv=5.4.3&utms=3&utmn=1093286432&utmhn=cordova.axuer.com&utmt=event&utme=5(snippet*snippet_not_enhanced)8(Number%20of%20snippets)&utmcs=UTF-8&utmsr=1920x1080&utmvp=1903x948&utmsc=24-bit&utmul=zh-cn&utmje=0&utmfl=-&utmdt=%E5%88%9B%E5%BB%BA%E4%BD%A0%E7%9A%84%E7%AC%AC%E4%B8%80%E4%B8%AAApp%20-%20Cordova%E4%B8%AD%E6%96%87%E7%BD%91&utmhid=743100670&utmr=0&utmp=%2Fdocs%2Fzh-cn%2Flatest%2Fguide%2Fcli%2Findex.html&utmht=1530777623899&utmac=UA-41961881-3&utmcc=__utma%3D52371387.117761400.1530777622.1530777622.1530777622.1%3B%2B__utmz%3D52371387.1530777622.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=6Q~ HTTP/1.1" 404 141
